
Plan du site Web. Les titres. CIBLE

2	3.100.E.cj theorique.grille vide	3.100.E	pour exercice
3	3.101 bis cj theorique.Etape 1	3.101 bis	
4	3.102 bis cj theorique.Etape 2	3.102 bis	
5	3.103 bis cj theorique.Etape 3	3.103 bis	

	3.11 La conjugaison par binyan	3.11	
N°	Documents	CODE	Remarques
1	3.110.Ra.Repertoire des vb shalem	3.110.Ra	Repertoire 5 p.
2	3.110.Rb.Repertoire des vb qualificatifs	3.110.Rb	Repertoire 16 p.
3	3.111.a vb shalem Paal Ia type qatal	3.111.a	
4	3.111.b vb shalem Paal Ib type kaved	3.111.b	
5	3.111.c vb shalem Paal Ic type qaton	3.111.c	
6	3.111 bis cj theorique Paal Ia	3.111 bis	
7	3.112 bis cj virtuelle du Passif du Qal	3.112 bis 	
8	3.112.R Repertoire des formes Passif du qal	3.112.R	Repertoire 7 p.
9	3.113 vb shalem Nifal II	3.113	
10	3.113 bis cj theorique Nifal	3.113 bis	
11	3.114 vb shalem Piel III	3.114	
12	3.114 bis cj theorique Piel	3.114 bis	
13	3.115 vb shalem Pual IV	3.115	
14	3.115 bis cj theorique Pual	3.115 bis	
15	3.116.A vb shalem Hitpael VII	3.116.A	
16	3.116.B vb shalem Hitpael avec dentale	3.116.B	
17	3.116.C variantes du hitpael avec dentale	3.116.C 	
18	3.116 bis cj theorique Hitpael	3.116 bis	
19	3.117 vb shalem Hifil V	3.117	
20	3.117 bis cj theorique Hifil	3.117 bis	
21	3.118 vb shalem Hofal VI	3.118	
22	3.118 bis cj theorique Hofal	3.118 bis	

	3.12 Verbe Shalem simplifie	3.12	
N°	Documents	CODE	Remarques
1	3.120 vb shalem cj 7 binyanim.simplifie	3.120	
2	3.121 vb shalem cj 7 bin.simplifie.avec lignes	3.121	
3	3.121.E vb sh. 7 bin.grille vierge.avec lignes	3.121.E	pour exercice
4	3.122 vb shalem cj 7 bin.avec begad-kefat	3.122	
5	3.123 vb sh. quadrilittere type Targem.complet	3.123	

	3.13 Verbe Shalem detaille	3.13	
N°	Documents	CODE	Remarques
1	3.130+ vb shalem 7 bin.detaille	3.130+	
2	3.131.ab+ vb shalem cj detaille Paal Iabc	3.131.ab+	
3	3.132+ vb shalem cj detaille bin. qallim	3.132+	
4	3.133+ vb shalem cj detaille bin. kevedim	3.133+	
5	3.134+ vb shalem cj detaille bin. goremim	3.134+	

	3.14 Verbe Shalem avec suffixes personnels	3.14	
N°	Documents	CODE	Remarques
1	3.141.S vb shalem cj paal avec suffixes	3.141.S	
2	3.142.S vb shalem cj piel avec suffixes	3.142.S	
3	3.143.S vb shalem cj hifil avec suffixes	3.142.S	

	3.15 Verbe quasi Shalem	3.15	
N°	Documents	CODE	Remarques
1	3.151 vb quasi shalem Lamed nun	3.151	
2	3.152 vb quasi shalem Lamed taw	3.152	


	3.2 Verbe avec Gutturale	3.2	
N°	DOSSIERS	CODE	Remarques
1	3.21 Verbes 1ere Gutturale	3.21	
2	3.22 Verbes 2eme Gutturale	3.22	
3	3.23 Verbes 3eme Gutturale	3.23	

	3.21 Verbes 1ere Gutturale	3.21	
N°	Focuments	CODE	Remarques
1	3.210.ab vb 1ere gutt. variantes Paal	3.210.ab	
2	3.210.R0 Repertoire simplifie des vb 1ere gutt dont alef	3.210.R0	Repertoire 14 p.
3	3.210.R1+ Repertoire detaille de tous les vb Pe alef	3.210.R1+	Repertoire 14 p.
4	3.210.R2+ Repertoire detaille des vb 1ere gutt sauf alef	3.210.R2+	Repertoire 21 p.
5	3.211.a1 vb 1ere gutt. type Avad	3.211.a1	
6	3.211.a1+ vb 1ere gutt. type Avad detaille	3.211.a1+	
7	3.211.a2 vb 1ere gutt. type Hamal	3.211.a2	
8	3.211.a2+ vb 1ere gutt. type Hamal detaille	3.211.a2+	
9	3.212.a1 vb 1ere gutt. type arav	3.212.a1	
10	3.212.a2 vb 1ere gutt. type hadaf	3.212.a2	
11	3.213.b1 vb 1ere gutt. type Hazeq	3.213.b1	
12	3.213.b2 vb 1ere gutt. type Haser	3.213.b2	
13	3.213.b3 vb 1ere gutt. type amets	3.213.b3	
14	3.214.ab vb 1ere Resh. type radaf rakev	3.214.ab	
15	3.214.R1 Repertoire des vb avec 1ere resh	3.214.R1	Repertoire 5 p.

	3.22 Verbes 2eme Gutturale	3.22	
N°	Documents	CODE	Remarques
1	3.220.Rc Repertoire simplifie des vb 2eme gutt	3.220.Rc	Repertoire 13 p.
2	3.221.ab vb 2eme gutt. allongmt type gaal	3.221.ab	
3	3.222.ab vb 2eme gutt. redoublmt virtuel type raHam	3.222.ab	
4	3.223.ab vb 2eme resh allongmt type barakh	3.223.ab	

	3.23 Verbes 3eme Gutturale	3.23	
N°	Focuments	CODE	Remarques
1	3.230.Rc Repertoire des vb 3eme gutt	3.230.Rc	Repertoire 10 p.
2	3.231.ab vb 3eme gutt. type balA	3.231.ab	

	3.3 Verbe avec Alef quiescent	3.3	
N°	Documents	CODE	Remarques
1	3.311 vb Pe alef quiesc. type akhal	3.311	
2	3.311+ vb Pe alef quiesc. type akhal detaille	3.311+	
3	3.330.Rc Repertoire des vb Lamed Alef	3.330.Rc	Repertoire 7 p.
4	3.331.ab vb Lamed alef.type matsa Tame	3.331.ab	

	3.4 Verbe avec Nun	3.4	
N°	Documents	CODE	Remarques
1	3.410 Les types Pe nun.Resume	3.410	
2	3.410.Rb Repertoire des vb Pe nun.n.bl	3.410.Rb	Repertoire 10 p.
3	3.410.Rc Repertoire des vb Pe nun.coul.detaille	3.410.Rc	Repertoire 11 p.
4	3.411 vb Pe nun.type nagash	3.411	
5	3.412 vb Pe nun.type nafal	3.412	
6	3.413 vb Pe nun.type naHal	3.413	= complexe 3.74.10

	3.5 Verbe avec Yod ou Waw	3.5	
N°	DOSSIERS	CODE	
1	3.51 Verbes Pe Yod ou Waw	3.51	
2	3.52 Verbes Ayin Yod ou Waw	3.52	
3	3.53 Verbes Lamed Yod ou Waw	3.53	

	3.51 Verbes Pe Yod ou Waw	3.51	
N°	Documents	CODE	Remarques
1	3.510 Les divers types de Pe yod.Resume	3.510	
2	3.510.Rb Repertoire des vb Pe yod.n.bl	3.510.Rb	Repertoire 12 p.
3	3.510.Rc Repertoire des vb Pe yod.coul	3.510.Rc	Repertoire 12 p.
4	3.511 vb Pe yod waw 1F type yashav simplifie	3.511	
5	3.511+ vb Pe yod waw 1F type yashav detaille	3.511+	
6	3.512 vb Pe yod waw 1Fg2 type yaHad simplifie	3.512	cf. 3.75.10.a
7	3.513 vb ee yod waw 1Fg3 type yadA simplifie	3.513	cf. 3.75.01.a et b
8	3.514.abc vb Pe yod waw 1N modele simplifie	3.514.abc	
9	3.514.A vb Pe yod waw 1N type yasad simplifie	3.514.A	
10	3.514.B vb Pe yod waw 1N type yavesh simplifie	3.514.B	cf. 3.75.01.b
11	3.514.C vb Pe yod waw 1N type yaqosh simplifie	3.514.C	
12	3.515 vb Pe yod yod 2 type yaneq simplifie	3.515	
13	3.515+ vb Pe yod yod 2 type yaneq detaille	3.515+	
14	3.516+ vb Pe yod tsadeh type 3 yatsav	3.516+	
15	3.516+Rc Repertoire Pe yod tsadeh.couleur	3.516+Rc	Repertoire 4 p.

	3.52 Verbes Ayin Yod ou Waw	3.52	
N°	Documents	CODE	Remarques
1	3.520.ab vb Ayin waw et yod.variantes Paal	3.520.ab	
2	3.520.Rb Repertoire des vb Ayin waw.n.bl	3.520.Rb	Repertoire 19 p.
3	3.520.Rc Repertoire des vb Ayin waw.coul	3.520.Rc	Repertoire 19 p.
4	3.521 vb Ayin waw et yod simplifie	3.521	
5	3.522+ vb Ayin waw type qum detaille.bin.qallim	3.522+	
6	3.523+ vb Ayin yod type sim detaille.bin.qallim	3.523+	
7	3.524+ vb Ayin waw type bosh detaille.bin.qallim	3.524+	
8	3.525+ vb Ayin waw et yod detaille.bin.kevedim	3.525+	
9	3.526+ vb Ayin waw et yod detaille.bin.goremim	3.526+	

	3.53 Verbes Lamed Yod ou Waw	3.53	
N°	Documents	CODE	Remarques
1	3.530 vb Lamed He simplifie	3.530	
2	3.530.Rc Repertoire des vb lamed He	3.530.Rc	Repertoire 16 p.
3	3.531+ vb Lamed He detaille.bin.qallim	3.531+	
4	3.532+ vb Lamed He detaille.bin.kevedim	3.532+	
5	3.533+ vb Lamed He detaille.bin.goremim	3.533+	
6	3.534.S vb Lamed He. Paal avec suffixes	3.534.S	
7	3.535.S vb Lamed He. Piel avec suffixes	3.535.S	
8	3.536.S vb Lamed He. Hifil avec suffixes	3.536.s	

	3.6 Verbe Gemine. Ayin-Ayin	3.61	
N°	Documents	CODE	Remarques
1	3.610.ab. vb Ayin-Ayin.variantes pa'al	3.610.ab	
2	3.610.R+ Repertoire des vb Ayin Ayin	3.610.R+	Repertoire 15 p.
3	3.611.ab vb Ayin Ayin savav-qalal simplifie	3.611.ab	

	3.7 Verbes complexes	3.7	
N°	DOSSIERS	CODE	Remarques
1	3.70 Verbes avec 1ere Shalem	3.70	
2	3.71 Verbes avec 1ere Gutturale	3.71	
3	3.72 Verbes avec 1ere Resh	3.72	
4	3.73 Verbes avec 1ere Alef semi quiescent	3.73	
5	3.74 Verbes avec 1ere Nun	3.74	
6	3.75 Verbes avec 1ere Yod	3.75	

	3.70 Verbes avec 1ere Shalem	3.70	
N°	Documents	CODE	Remarques
1	3.70.13 vb Ayin gutt et Lamed alef type maHa	3.70.13	
2	3.70.151 vb Ayin gutt et Lamed He type taAh	3.70.151	
3	3.70.152 vb Ayin gutt et Lamed He type laah	3.70.152	
4	3.70.153 vb Ayin gutt et Lamed He type kahah	3.70.153	
5	3.70.154 vb Ayin gutt et Lamed He type maHah	3.70.154	
6	3.70.21 vb Ayin resh et Lamed gutt type qarA	3.70.21	
7	3.70.23 vb Ayin resh et Lamed alef type qara	3.70.23	
8	3.70.25 vb Ayin resh et Lamed He type zarah	3.70.25	
9	3.70.51 vb Ayin waw et Lamed gutt type siaH	3.70.51	
10	3.70.53 vb Ayin waw et Lamed alef	3.70.53	
11	3.70.61.ab vb Ayin Ayin gutturale	3.70.61.ab	
12	3.70.62.ab vb Ayin Ayin resh type sarar tsarar	3.70.62.ab	

	3.71 Verbes avec 1ere Gutturale	3.71	
N°	Documents	CODE	Remarques
1	3.71.01 vb Pe gut et Lamed gut.type anaH	3.71.01	
2	3.71.03 vb Pe gut et Lamed alef.type HaTa	3.71.03	
3	3.71.050 vb Pe gut et Lamed He.variantes paal	3.71.050	
4	3.71.051 vb Pe gut et Lamed He.type Asah	3.71.051	
5	3.71.052+ vb Pe gut et Lamed He.Asah bin qallim	3.71.052+	
6	3.71.053+ vb Pe gut et Lamed He.Asah bin kev.et.gor	3.71.053+	
7	3.71.054 vb Pe gut et Lamed He.type Hatah	3.71.054	
8	3.71.055 vb Pe gut et Lamed He.type hamah	3.71.055	
9	3.71.056 vb Pe gut et Lamed He.type hagah	3.71.056	
10	3.71.251 vb Pe gut. 2 resh. 3 He.'arah	3.71.251	
11	3.71.255 vb Pe gut. 2 resh. 3 He.Harah	3.71.255	
12	3.71.50 vb Pe gut et Ayin waw.type Od	3.71.50	
13	3.71.60 vb Pe gut et Ayin Ayin.type Halal	3.71.60	
14	3.71.62.ab vb Pe gut et Ayin Ayin resh	3.71.62.ab	

	3.72 Verbes avec 1ere Resh	3.72	
N°	Documents	CODE	Remarques
1	3.72.01 vb Pe resh et Lamed gutt.type ratsaH	3.72.01	
2	3.72.03 vb Pe resh et Lamed alef.type rafa	3.72.03	
3	3.72.05.ab vb Pe resh et Lamed He.type ratsah	3.72.05.ab	
4	3.72.10.ab vb Pe resh et Ayin gutt.type raHam	3.72.10.ab	
5	3.72.150 vb raah.simplifie	3.72.150	
6	3.72.151+ vb raah.detaille.bin qallim	3.72.151+	
7	3.72.152+ vb raah.detaille.autres bin	3.72.152+	
8	3.72.50 vb Pe gut et Ayin waw.type rum	3.72.50	≈ 3.71.50
9	3.72.51 vb Pe gut.Ayin waw.Lamed gut.type ruA'	3.72.51	
10	3.72.60.ab vb Pe resh et Ayin Ayin.actif et qualificatif	3.72.60.ab	cf. 3.611.ab
11	3.72.61 vb Pe resh et Ayin Ayin gutt.rA'A'	3.72.61	cf. 3.70.61.ab

	3.73 Verbes avec 1ere Alef semi quiescent	3.73	
N°	Documents	CODE	Remarques
1	3.73.05 vb Pe alef quiesc et Lamed He.type abah	3.73.05	
2	3.73.10.a vb Pe alef et Ayin gutt.type aHaz	3.73.10.a	
3	3.73.10.b vb Pe alef et Ayin gutt.type ahev	3.73.10.b	

	3.74 Verbes avec 1ere Nun	3.74	
N°	Documents	CODE	Remarques
1	3.74.01 vb Pe nun et Lamed gutt.type nagA	3.74.01	
2	3.74.02 vb Pe nun et Lamed resh.type nadar	3.74.02	
3	3.74.03 vb Pe nun et Lamed alef.type nasa	3.74.03	cf. 3.913 Nasa
4	3.74.05 vb Pe nun et Lamed he.type naTah	3.74.05	
5	3.74.10 vb Pe nun et Ayin gutt.type naHah	3.74.10	≈ 3.413
6	3.74.12 vb Pe nun.Ayin gutt et Lamed resh.type naAr	3.74.12	
7	3.74.15 vb Pe nun.Ayin gutt et Lamed He.type naHah	3.74.15	≈ 3.70.153
8	3.74.51 vb Pe nun.Ayin waw et Lamed gutt	3.74.51	cf. 3.70.51
9	3.74.60 vb Pe nun et Ayin Ayin.type nadad	3.74.60	

	3.75 Verbes avec 1ere Yod	3.75	
N°	Documents	CODE	Remarques
1	3.75.01.a vb Pe yod et Lamed gut.actif.type YadA	3.75.01.a	= 3.513
2	3.75.01.b vb Pe yod et Lamed gut.qualif.type YageA	3.75.01.b	cf. 3.514.B
3	3.75.03.ab vb Pe yod et Lamed alef.Yatsa.Yara	3.75.03.ab	cf 3.908 et 3.909
4	3.75.05.ab vb Pe yod et Lamed He.type Yarah	3.75.05.ab	cf. 3.910
5	3.75.10.a vb Pe yod et Ayin gut.actif.type YaHad	3.75.10.a	= 3.512
6	3.75.10.b vb Pe yod et Ayin gut.qualif.type YaAts	3.75.10.b	= 3.514.A et B
7	3.75.60 vb Pe yod et Ayin Ayin.type yalel	3.75.60	cf. 3.515

	3.8 Verbes hybrides	3.8	
N°	Documents	CODE	Remarques
1	3.801 vb hybride halakh.yalakh	3.801	cf. 3.211.a1 +3.511
2	3.802 vb hybride tov.yatav	3.802	cf. 3.524     + 3.515
3	3.803 vb hybride yagor.gur	3.803	cf. 3.514.C  + 3.522
4	3.804 vb hybride yatsav.natsav	3.804	cf. 3.514.A  + 3.412
5	3.805 vb hybride yaqets.qits	3.805	cf. 3.515     + 3.523
6	3.806 vb hybride yaqosh.naqash	3.806	cf. 3.514.C + 3.412
7	3.807 vb hybride puH.nafaH	3.807	cf. 3.70.51  + 3.412
8	3.808 vb hybride puts.nafats	3.808	cf. 3.522     + 3.412

	3.9 Verbes irreguliers ou a probleme	3.9	
N°	Documents	CODE	Remarques
1	3.901 vb irreg bo'	3.901	cf. 3.521 et 3.331
2	3.902 vb irreg bosh	3.902	cf. 3.521 et 3.524
3	3.903 vb irreg hayah	3.903	≈ 3.71.056
4	3.904 vb irreg Hayah	3.904	≈ 3.71.055
5	3.905 vb irreg yakhol	3.905	cf. 3.514.a et c
6	3.906 vb irreg yasaf	3.906	cf. 3.511
7	3.907 vb irreg yatsaq	3.907	cf. 3.516+
8	3.908 vb irreg yatsa'	3.908	≈ 3.75.03.a
9	3.909 vb irreg yare'	3.909	≈ 3.75.03.b
10	3.910 vb irreg yarah	3.910	≈ 3.75.05.ab
11	3.911 vb irreg laqaH	3.911	cf. 3.74.01
12	3.912 vb irreg mut	3.912	cf. 3.520.ab
13	3.913 vb irreg nasa	3.913	≈ 3.74.03
14	3.914 vb irreg natan	3.914	≈ 3.74.04

	D.Autres dossiers (de grammaire)		
N°	Documents	CODE	Remarques
1	article		
2	Flexion du nom.Suffixes		
3	pronom Lamah		
4	pronom Mah et derives		
5	pronoms personnels		

	E.Memoire sur le Waw conversif		
N°	Documents	CODE	Remarques
1	Memoire corrige 2006.Tome 1		
2	Memoire corrige 2006.Tome 2		
3	Memoire corrige 2006.Encart 1		
4	Memoire corrige 2006.Encart 2		

	Mots et Themes bibliques		
N°	DOSSIERS	CODE	Remarques
1	Des Mots de la Bible		
2	Des Racines Hebraiques		
3	Divers sujets en vrac		
4	te'amim			

	Des Mots de la Bible		
N°	DOSSIERS	CODE	Remarques
1	Homme-Femme.Les mots de la Bible		
2	L'assemblee  Qahal et Edah		
3	L'Etranger.Les mots de la Bible		
4	Les mots du Silence		
5	Les Noms de Dieu dans la Bible		

	Homme-Femme.Les mots de la Bible		
N°	Documents	CODE	Remarques
3	Tableau Femme.Les mots		18 pages
4	Femme.Lecture du  tableau		7 pages
1	Tableau Homme.Les mots		52 pages
2	Homme.Lecture du tableau		6 pages

	L'assemblee  Qahal et Edah		
N°	Documents	CODE	Remarques
1	Qahal et Edah Repart par livre		1 page
2	Qahal expressions et sens		2 pages

	L'Etranger.Les mots de la Bible		
N°	Documents	CODE	Remarques
1	Etranger.1.du grec a l'hebreu		3 pages
2	Etranger.2.de l'hebreu au grec		6 pages

	Les mots du Silence		
N°	Documents	CODE	Remarques
1	1 Rois 19.12.Elie=brise ou silence		1 page. Couleurs
2	Le vocabulaire du silence		1 page
3	Les mots du silence.Resume		1 page

	Les Noms de Dieu dans la Bible		
N°	Documents	CODE	Remarques
1	Les Noms de Dieu.Tableau A3		4 pages format A3
2	Les Noms de Dieu.Tsafon 40		12 pages

	Des Racines Hebraiques		
N°	DOSSIERS	CODE	Remarques
1	K.P.R. Le verbe et la Racine		
2	Q.R.B.Le verbe et la Racine		
3	Q.W.H.Le verbe et la Racine		

	K.P.R. Le verbe et la Racine		
N°	Documents	CODE	Remarques
1	La racine KPR.champ semantique		1 page
2	Kapper.Le verbe.Occurrences		14 pages
3	Kapper.Le verbe.Constructions diverses		3 pages

	Q.R.B.Le verbe et la Racine		
N°	Documents	CODE	Remarques
1	La racine QRB.champ semantique		1 page
2	QRB.Les mots de la Racine.Occurrences		47 pages

	Q.W.H.Le verbe et la Racine		
N°	Documents	CODE	Remarques
1	La racine QWH.champ semantique		2 pages
2	QWH.Les mots de la Racine.Occurrences		15 pages

	Divers sujets en vrac		
N°	Documents	CODE	Remarques
1	anokhi et ani dans la Torah		3 pages
2	La formule Waw.HYH.Ke		31 pages
3	Le vocabulaire du betail		1 page
4	Les buissons dans la Bible		1 page

	Les te'amim, pour savourer l'hebreu		
N°	Documents	CODE	Remarques
1	Syntaxe des te'amim.10		
2	Recension des te'amim		
3	Cas speciaux		
4	Commentaires rabbiniques sur Qo 8.10		


